mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.06777238845825195,0.026045740266544354,0.796293067932129,0.3443207922489857,25,2,"{'n_neighbors': 25, 'p': 2}",-380.9943691345151,-405.4994044722512,-383.67592584009265,-380.8390961761298,-397.51633835457704,-389.70502679551316,10.013084394268144,50,-374.9853909214681,-371.1531079632687,-373.693751231099,-376.08805167719134,-372.20520943166684,-373.62510224493883,1.7915395168635628
0.05942058563232422,0.027494654259249525,0.46768555641174314,0.01900884402072499,26,1,"{'n_neighbors': 26, 'p': 1}",-355.48519201803873,-377.2614413161858,-356.2721989482128,-353.5762322845174,-366.3394865852572,-361.7869102304424,8.918811457550248,23,-348.86879892506903,-345.3347271337625,-347.15147642751776,-349.1972911365328,-345.58011836376363,-347.22648239732916,1.6047535055307771
0.048969364166259764,0.009144927127487183,0.5130434036254883,0.03137069693423919,26,2,"{'n_neighbors': 26, 'p': 2}",-381.5463623967273,-406.2826573264529,-383.8927310812016,-381.8590382387022,-398.32594705410463,-390.3813472194377,10.08719164309353,52,-376.35855878138835,-372.3407401960457,-374.938689041102,-377.331523264986,-373.3081680355448,-374.8555358638134,1.8501378542691373
0.04600467681884766,0.002605664801380859,0.46138200759887693,0.034056630780301855,27,1,"{'n_neighbors': 27, 'p': 1}",-356.32091470453184,-377.99252908336445,-357.04993777091113,-354.38444701944127,-367.061130423587,-362.56179180036713,8.883127271144645,24,-350.0968202929618,-346.63962676502877,-348.6356569187228,-350.5338388617457,-346.78761154990804,-348.5387108776734,1.6180549113249274
0.10029463768005371,0.054780256510500815,1.0072642803192138,0.5926780284063851,27,2,"{'n_neighbors': 27, 'p': 2}",-382.5950900500779,-406.8948664804301,-384.791845843526,-382.2870649328355,-399.14462469421915,-391.1426984002177,10.039709203505158,53,-377.20307552997804,-373.57166705826944,-376.57577025493134,-378.5248977034505,-374.4428770059672,-376.0636575105193,1.8141213868645696
0.043602514266967776,0.001989239086851556,0.43705034255981445,0.027496374916512557,28,1,"{'n_neighbors': 28, 'p': 1}",-357.2670688713441,-379.24254762732346,-358.9110370799537,-355.08449346134745,-367.61359874193016,-363.6237491563798,8.89271266349998,25,-351.0807789875314,-347.8842350618878,-350.00906150943086,-351.9906674418797,-348.16959371663614,-349.82686734347317,1.6004934268371718
0.07209692001342774,0.0364711466827161,0.8133386135101318,0.41160878616628177,28,2,"{'n_neighbors': 28, 'p': 2}",-383.994885545459,-407.16886803383153,-385.5984605197815,-384.06827512001325,-400.449921370634,-392.2560821179439,9.686502599606715,54,-378.4757735457093,-374.9122169942106,-377.4998448194525,-379.78175200907083,-375.9492114759118,-377.32375976887096,1.7380902797979076
0.042859983444213864,0.0031342805125108525,0.42862730026245116,0.03266239241003561,29,1,"{'n_neighbors': 29, 'p': 1}",-357.8163596338779,-379.9827406421919,-359.868545970352,-355.4861509569664,-368.507380029568,-364.3322354465912,8.977800591579845,26,-352.20714627478134,-349.57357290764537,-350.9333947967213,-353.64525869560447,-349.60471183792845,-351.1928169025362,1.5655454936855304
0.04299883842468262,0.0012518330128336844,0.5139406681060791,0.018449933827757576,29,2,"{'n_neighbors': 29, 'p': 2}",-384.20337276617164,-408.14795504576534,-386.36594877532264,-384.94811603468247,-400.6374355695848,-392.8605656383054,9.735685658190619,55,-379.68671143701636,-376.1825315724861,-378.5537208656549,-380.5806841814016,-376.93929707992305,-378.38858902729646,1.642242864009682
0.04275336265563965,0.0020022281415668325,0.4326629161834717,0.013677900882748627,30,1,"{'n_neighbors': 30, 'p': 1}",-357.90980187695516,-380.6264318541691,-360.8506566241792,-356.64733874082657,-368.73529934337586,-364.95390568790117,8.892492566593107,27,-353.3253787549607,-350.58556530807334,-351.885401579669,-354.61926307861654,-350.71544136106445,-352.2262100164768,1.5508167044409051
0.043586206436157224,0.004251559955434019,0.5981769561767578,0.06786621619034003,30,2,"{'n_neighbors': 30, 'p': 2}",-384.54814042405286,-409.4730042868729,-387.20546929316333,-385.6575241405948,-401.8964233294709,-393.7561122948309,10.06548714599015,56,-380.48555661771104,-377.71562720276546,-379.84137072012055,-382.0642015719445,-378.15909564915137,-379.6531703523386,1.5828891616465242
